architecture,optimizer,activation,training accuracy,testing accuracy,time elapsed

<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,ELU(alpha=1.0),75.80799865722656,67.38999938964844,292
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,LeakyReLU(negative_slope=0.01),71.8740005493164,65.33999633789062,295
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,ReLU(inplace=True),71.07799530029297,64.30999755859375,300
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,PReLU(num_parameters=1),74.22200012207031,67.0999984741211,301
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,CELU(alpha=1.0),77.41999816894531,67.8699951171875,298
architecture,optimizer,activation,training accuracy,testing accuracy,time elapsed

<function vgg16_bn at 0x7f3f45c3ed08>,<class 'torch.optim.adam.Adam'>,ELU(alpha=1.0),91.98400115966797,75.79000091552734,1032
architecture,optimizer,activation,training accuracy,testing accuracy,time elapsed

<function vgg16_bn at 0x7f96aadccd08>,<class 'torch.optim.adam.Adam'>,ELU(alpha=1.0),75.62200164794922,72.5999984741211,1007
<function vgg16_bn at 0x7f96aadccd08>,<class 'torch.optim.adam.Adam'>,LeakyReLU(negative_slope=0.01),77.75999450683594,74.5999984741211,1011
<function vgg16_bn at 0x7f96aadccd08>,<class 'torch.optim.adam.Adam'>,ReLU(inplace=True),61.47200012207031,59.5,1010
<function vgg16_bn at 0x7f96aadccd08>,<class 'torch.optim.adam.Adam'>,PReLU(num_parameters=1),74.3219985961914,71.06999969482422,1011
<function vgg16_bn at 0x7f96aadccd08>,<class 'torch.optim.adam.Adam'>,CELU(alpha=1.0),72.70800018310547,70.15999603271484,1022
<function vgg16_bn at 0x7f96aadccd08>,<class 'torch.optim.adam.Adam'>,Softplus(beta=1; threshold=20),59.08799743652344,57.94999694824219,1059
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,ELU(alpha=1.0),28.939998626708984,29.329999923706055,309
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,LeakyReLU(negative_slope=0.01),10.0,10.0,316
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,ReLU(inplace=True),54.54999923706055,52.54999923706055,319
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,PReLU(num_parameters=1),10.0,10.0,309
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,CELU(alpha=1.0),33.68000030517578,33.31999969482422,310
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,Softplus(beta=1; threshold=20),30.479999542236328,30.309999465942383,313
<function resnet18 at 0x7f96aadcc510>,<class 'torch.optim.adam.Adam'>,ELU(alpha=1.0),69.0260009765625,66.12999725341797,417
<function resnet18 at 0x7f96aadcc510>,<class 'torch.optim.adam.Adam'>,LeakyReLU(negative_slope=0.01),84.69200134277344,77.29999542236328,412
<function resnet18 at 0x7f96aadcc510>,<class 'torch.optim.adam.Adam'>,ReLU(inplace=True),85.23999786376953,77.43999481201172,416
<function resnet18 at 0x7f96aadcc510>,<class 'torch.optim.adam.Adam'>,PReLU(num_parameters=1),75.83599853515625,68.8499984741211,420
<function resnet18 at 0x7f96aadcc510>,<class 'torch.optim.adam.Adam'>,CELU(alpha=1.0),70.1259994506836,67.36000061035156,411
<function resnet18 at 0x7f96aadcc510>,<class 'torch.optim.adam.Adam'>,Softplus(beta=1; threshold=20),15.191999435424805,15.15999984741211,418
