architecture,optimizer,activation,training accuracy,testing accuracy,time elapsed

<function vgg16_bn at 0x7fcb7bb6a048>,<class 'torch.optim.adam.Adam'>,ELU(alpha=1.0),86.71399688720703,70.83000183105469,1038
<function vgg16_bn at 0x7fcb7bb6a048>,<class 'torch.optim.adam.Adam'>,LeakyReLU(negative_slope=0.01),83.0479965209961,70.0199966430664,1011
<function vgg16_bn at 0x7fcb7bb6a048>,<class 'torch.optim.adam.Adam'>,ReLU(inplace=True),94.4280014038086,78.19999694824219,1011
<function vgg16_bn at 0x7fcb7bb6a048>,<class 'torch.optim.adam.Adam'>,PReLU(num_parameters=1),82.81599426269531,70.36000061035156,1012
<function vgg16_bn at 0x7fcb7bb6a048>,<class 'torch.optim.adam.Adam'>,CELU(alpha=1.0),88.08999633789062,72.05999755859375,1012
<function vgg16_bn at 0x7fcb7bb6a048>,<class 'torch.optim.adam.Adam'>,Softplus(beta=1; threshold=20),90.08200073242188,74.1500015258789,1012
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,ELU(alpha=1.0),76.47799682617188,66.6199951171875,287
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,LeakyReLU(negative_slope=0.01),73.28399658203125,66.68000030517578,289
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,ReLU(inplace=True),74.80799865722656,66.75999450683594,289
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,PReLU(num_parameters=1),73.24199676513672,66.58999633789062,291
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,CELU(alpha=1.0),79.34400177001953,68.79999542236328,288
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,Softplus(beta=1; threshold=20),19.275999069213867,19.619998931884766,289
<function resnet18 at 0x7fcb7bb657b8>,<class 'torch.optim.adam.Adam'>,ELU(alpha=1.0),95.51200103759766,70.93000030517578,387
<function resnet18 at 0x7fcb7bb657b8>,<class 'torch.optim.adam.Adam'>,LeakyReLU(negative_slope=0.01),96.0459976196289,65.05999755859375,390
<function resnet18 at 0x7fcb7bb657b8>,<class 'torch.optim.adam.Adam'>,ReLU(inplace=True),96.49800109863281,63.2599983215332,387
<function resnet18 at 0x7fcb7bb657b8>,<class 'torch.optim.adam.Adam'>,PReLU(num_parameters=1),97.61799621582031,69.75,400
<function resnet18 at 0x7fcb7bb657b8>,<class 'torch.optim.adam.Adam'>,CELU(alpha=1.0),94.73600006103516,70.43000030517578,388
<function resnet18 at 0x7fcb7bb657b8>,<class 'torch.optim.adam.Adam'>,Softplus(beta=1; threshold=20),83.47000122070312,63.65999984741211,390
<function vgg16_bn at 0x7fcb7bb6a048>,<class 'torch.optim.sgd.SGD'>,ELU(alpha=1.0),91.94200134277344,65.77999877929688,963
<function vgg16_bn at 0x7fcb7bb6a048>,<class 'torch.optim.sgd.SGD'>,LeakyReLU(negative_slope=0.01),79.48799896240234,63.929996490478516,963
